"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2017,24,8857,126,159,3.21779,1.4226,1.79519
National,X,2017,25,8011,107,120,2.8336,1.33566,1.49794
National,X,2017,26,6861,91,95,2.71098,1.32634,1.38464
National,X,2017,27,6995,75,78,2.18728,1.07219,1.11508
National,X,2017,28,7363,93,66,2.15945,1.26307,0.896374
National,X,2017,29,7009,87,43,1.85476,1.24126,0.613497
National,X,2017,30,6689,73,50,1.83884,1.09134,0.747496
National,X,2017,31,6627,95,33,1.93149,1.43353,0.497963
National,X,2017,32,6721,75,55,1.93424,1.11591,0.818331
National,X,2017,33,7356,62,38,1.35943,0.842849,0.516585
National,X,2017,34,7936,78,34,1.41129,0.982863,0.428427
National,X,2017,35,9114,116,57,1.89818,1.27277,0.625411
National,X,2017,36,10087,127,61,1.86379,1.25905,0.604739
National,X,2017,37,11267,148,67,1.90823,1.31357,0.594657
National,X,2017,38,12381,136,68,1.64769,1.09846,0.549229
National,X,2017,39,13194,152,72,1.69774,1.15204,0.545703
National,X,2017,40,14690,225,108,2.26685,1.53165,0.735194
National,X,2017,41,14774,218,92,2.09828,1.47557,0.622716
National,X,2017,42,14276,234,100,2.33959,1.63911,0.700476
National,X,2017,43,11775,228,108,2.8535,1.93631,0.917197
